namn,init,kon,yrke,tid,ort,rader,antal,kon2,arh
Ralph Enckell,RE,man,diplomat,1900-tal,Helsingfors,1437,1,1,19
Carl Magnus Gripenberg,CMG,man,officerare,1700-tal,Åbo,1434,1,1,17
Gund von Numers,GvN,kvinna,skribent,1900-tal,Bennäs,1426,1,2,19
Mathilda Wrede,MW,kvinna,missionär,1800-tal,Vasa,1424,1,2,18
Runar Karlsson,RK,man,politiker,1900-tal,Jomala,1420,1,1,19
Peter Malm,PM,man,affärsman,1800-tal,Jakobstad,1419,1,1,18
Albert Nycop,AN,man,skådespelare,1900-tal,Helsingfors,1418,1,1,19
Arvid Neovius,AN,man,journalist,1800-tal,Sankt Petersburg,1416,1,1,18
Pekka Strang,PS,man,teaterchef,2000-tal,Helsingfors,1414,1,1,20
Johan Ehn,JE,man,politiker,2000-tal,Jomala,1413,1,1,20
Anders Adlercreutz,AA,man,politiker,2000-tal,Helsingfors,1412,1,1,20
Torbjörn Kevin,TK,man,journalist,1900-tal,Ekenäs,1411,1,1,19
André Hansell,AH,man,fotbollsspelare,2000-tal,Mariehamn,1401,1,1,20
Emil Sarlin,ES,man,företagsledare,1900-tal,Helsingfors,1399,1,1,19
Johannes Sundwall,JS,man,klassisk filolog,1900-tal,Nykarleby,1395,1,1,19
Sven Högström,SH,man,politiker,1900-tal,Hangö,1392,1,1,19
Arthur af Forselles,AaF,man,politiker,1800-tal,Lampis,1388,1,1,18
Karl Flodin,KF,man,kompositör,1800-tal,Vasa,1385,1,1,18
Harry Jansson,HJ,man,politiker,1900-tal,Jomala,1384,1,1,19
Carl Erik Mannerheim,CEM,man,politiker,1700-tal,Säter,1382,1,1,17
Kaj Bärlund,KB,man,ämbetsman,1900-tal,Borgå,1380,1,1,19
Henrik Otto Donner,HOD,man,jazzmusiker,1900-tal,Tammerfors,1375,1,1,19
Elsa Lindberg-Dovlette,EL,kvinna,journalist,1900-tal,Finska församlingen,1371,1,2,19
Katarina Gäddnäs,KG,kvinna,författare,2000-tal,Finström,1370,1,2,20
Barbro Teir,BT,kvinna,journalist,1900-tal,Vasa,1358,1,2,19
Waldemar Ruin,WR,man,pedagog,1800-tal,Suzdal,1356,1,1,18
Nina Roos,NR,kvinna,målare,1900-tal,Borgå,1349,1,2,19
Erik Munsterhjelm,EM,man,geolog,1900-tal,Lojo,1345,1,1,19
Jean Boldt,JB,man,journalist,1800-tal,Kuopio,1344,1,1,18
Bengt Carlson,BC,man,violinist,1900-tal,Ekenäs,1343,1,1,19
Elias Lodenius,EL,man,journalist,1900-tal,Nora,1328,1,1,19
Anders Huldén,AH,man,journalist,1900-tal,Jakobstad,1326,1,1,19
Pehr Norrmén,PN,man,bankman,1900-tal,Helsingfors,1323,1,1,19
J.O. Tallqvist,JT,man,journalist,1900-tal,Helsingfors,1320,1,1,19
Jan-Erik Enestam,JE,man,politiker,1900-tal,Västanfjärd,1318,1,1,19
Henrik Lax,HL,man,politiker,1900-tal,Helsingfors,1312,1,1,19
Anders Cleve,AC,man,författare,1900-tal,Helsingfors,1312,1,1,19
Ragni Karlsson,RK,kvinna,agronom,1900-tal,Pargas stad,1308,1,2,19
