hier1,hier2,hier3,dirs,files,bytes
alveskar,vaststugan,10-12_Mobler,1,33,152253154
springa,Erfurt,-,1,31,142845802
selma,Stada_dack,-,1,37,170372143
resa,Erfurt,09-01_Erfurt,1,18,82857671
springa,Mumbai,-,1,5,23010303
alveskar,lappstugan,07-31_Lappstugan,1,8,36644352
alveskar,lidret,09-22_Ordna,1,6,27471395
resa,Granibacken,-,1,2,9157096
selma,Brunskar,-,1,32,146180214
alveskar,uddbastun,09-22_Loftet,1,9,41065344
alveskar,ute,11-04_Lidret,1,12,54629913
furuvik,Mat,-,1,1,4550159
nagu,Wikom_by,-,1,1,4534680
selma,Lowrance,-,1,1,4529814
dagbok,till_Finland,-,1,6,27147583
dagbok,Banankvarg,-,1,1,4507146
alveskar,ute,09-21_Utedass,1,2,8979163
springa,Marienklause,-,1,26,116285978
mariadb,Split,05-29,1,15,67021261
alveskar,uddbastun,09-22_Krokar,1,5,22322062
dagbok,Mat_morot,-,1,1,4459414
dagbok,fi-proviant,-,1,1,4458316
alveskar,lappstugan,08-13_Kamin_mm,1,47,209393259
resa,Wuppertal,-,1,18,80174072
ick,Samsung_OSX,-,1,1,4443899
furuvik,Nyckelhitt,-,1,1,4430333
yoga,Egypten_Ki,-,1,16,70868210
nagu,Brunskar,-,1,8,35383531
alveskar,ute,09-22_Solposition,1,4,17670694
resa,Rumanien,06-09,1,65,286499176
springa,Shanghai,-,1,31,135857652
alveskar,besok,07-20_Byggarbetare,1,6,26272881
fredrika,SZ,-,1,10,43695678
alveskar,utrustning,04-30_Dekoskylt,1,1,4367614
nagu,Farjan,-,1,2,8714685
mariadb,Indien,11-25_Chennai,1,58,252659509
hus,Tina_Mankby,-,1,6,26132050
dagbok,Etisk_relativism,-,1,11,47883989
alveskar,vaststugan,06-17_Vaststugan_MOV,1,6,26113665
alveskar,ute,08-20_Utedass,1,3,13053047
dagbok,Banankvarg,-,1,1,4342524
alveskar,uddbastun,10-13_Badibunkan,1,43,186390264
selma,Skylt_o_kedja,-,1,2,8659891
ick,Sno,-,1,9,38940080
alveskar,lappstugan,07-19_Lappstugan,1,8,34608368
munchen,Stachus,-,1,2,8641524
alveskar,lappstugan,09-21_Utifran,1,8,34548451
nagu,Lennart,-,1,7,30209038
alveskar,aaro,05-03_Uddbastun_5,1,2,8623873
paddla,Billig_kajak,-,1,1,4300567
alveskar,uddbastun,11-04_Uddbastun_NSWO,1,3,12890317
fredrika,svahnstrom,Furuvik i Nagu,1,33,141420432
mariadb,Singapore,09-08_Singapore,1,2,8560056
springa,Shanghai_ebb,-,1,7,29916584
dagbok,Edeka,-,1,1,4268928
fredrika,Uppslagsverk,-,1,5,21335910
resa,Sri_Pada,-,1,1,4262173
ick,Slang,-,1,1,4243704
alveskar,ute,10-13_Lilla_gasthuset,1,13,55144713
dagbok,Finland,-,1,1,4239475
idrott,Alveskar_runt,kajPhone,1,54,228904748
alveskar,uddbastun,08-02_Uddbastun,1,16,67789098
dagbok,Proteinmix,-,1,1,4235739
fredrika,Wikimania,08-16,1,57,241316883
